Weight,Coffee,Process,SCA score,Sensory profile,Approx. no of bags SPOT,Cena PLN/kg netto,Price USD/kg,Price EUR/kg
60 kg,Ethiopia Special Natural Yirgacheffe Koke,natural,"88,75","strawberry, mango lassi, milk chocolate, vibrant",3,"73,14","17,13","15,60"
30 kg,Honduras Finca El Cerron Jacinto Chavarria,washed,"83,75","cherry, cranberry, liquroice, caramel",11,"38,36","8,98","8,18"
30 kg,Honduras Finca La Arada Osman Martinez,washed,"83,5","apple, walnut, chocolate",10,"34,60","8,10","7,38"
30 kg,Honduras Finca La Arada Osman Martinez,prolonged ferme,86,"red currants, ripe peach, black tea",4,"45,89","10,75","9,79"
30 kg,Honduras Finca La Casa Domingo Martinez,prolonged ferme,87,"floral, red currant,  grape, chocolate",4,"50,98","11,94","10,87"
30 kg,Honduras Finca Los Ceratos E. Cerrato lot 1,washed,84,"rose, apple, chocolate",11,"40,24","9,42","8,58"
30 kg,Honduras Finca Los Cipreses Leon Mateo,washed,85,"jasmine, raspberry, fudge",6,"38,36","8,98","8,18"
69 kg,Honduras Pacamara Hacienda Montecristo,washed,"83,5","smoked plum, pomelo, cocoa",5,"43,98","10,30","9,38"
69 kg,Honduras SHG EP San Andres,washed,-,-,162,"27,68","6,48","5,90"
60 kg,Indonesia Sumatra Lintong Gr.1 TP,wet hulled,-,"pear, raisins, cinnamon stick",2,"36,34","8,51","7,75"
60 kg,Indonesia Sumatra Mandheling TP Gr.1 MENA GOLD,wet hulled,84,"grapefruit, ceder, chocolate",16,"36,81","8,62","7,85"
60 kg,Indonesia Toraja Kalossi Gr. 1,wet hulled,-,"dried fig, roasted walnut, cocoa",17,"39,54","9,26","8,43"
60 kg,Kenya AA Mount Kenya Selection,washed,"84,5","grapefruit, brown spices, caramel",17,"45,98","10,77","9,81"
60 kg,Kenya AB THIRIRIKA GITHEMBE,washed,"86,75","black currant, gooseberry, black tea",3,"53,51","12,53","11,41"
60 kg,Kenya PB BARAGWI,washed,87,"gooseberry, blackberry, caramel",1,"53,81","12,60","11,47"
60 kg,Kenya TT washed,washed,83,"goosberry, red plum, tea, chocolate",2,"36,21","8,48","7,72"
60 kg,Malawi AA Plus Pamwamba RFA,washed,-,-,15,"36,15","8,47","7,71"
69 kg,Mexico SHG ep Finca Aurora in grainpro,washed,"83,75","apricot, peanutbutter, chocolate",2,"33,51","7,85","7,15"
30 kg,Nicaragua El Limoncillo Java Caturra Fincas Mierisch Natural,natural,"85,5","grapes, plum, dark chocolate",9,"44,92","10,52","9,58"
30 kg,Nicaragua La Huella H1 Fincas Mierisch,anaerobic,"88,25","apricot, mandarin, berries, rum",1,"63,28","14,82","13,49"
69 kg,Nicaragua Los Placeres Pacas Fincas Mierisch,washed,84,"apple, pear, nutmeg, chocolate- juicy cup with chewy body",10,"38,77","9,08","8,27"
69 kg,Nicaragua Organic SHG EP,washed,-,-,8,"29,75","6,97","6,34"
69 kg,Nicaragua San Jose Javanica Fincas Mierisch  (crop 2021),anaerobic,87,"papaya, melon, mandarin, honey",3,"43,87","10,27","9,35"
30 kg,Nicaragua San Jose Javanica Fincas Mierisch,anaerobic,"87,5","jasmine, guava, papaya, milk chocolate",23,"63,75","14,93","13,59"
69 kg,Nicaragua SHB EP Colibrí Azul ecotac,washed,"84,25","hazelnut, grapefruit, black tea",115,"28,81","6,75","6,14"
69 kg,Nicaragua SHG EP Olomega,washed,premium,"apple, hazelnut, chocolate",30,"27,49","6,44","5,86"
69 kg,NicaraguaSHB EP Tierra Madre ecotac,washed,premium,"apple, tobacco, cocoa nibs",46,"27,39","6,42","5,84"
60 kg,Panama SHB ANSELMITO Estate,washed,-,-,7,"39,35","9,22","8,39"
60 kg,Panama SHB EL HORTIGAL Estate,washed,-,-,9,"40,20","9,41","8,57"
60 kg,Panama SHB LA GLORIA Estate,washed,-,-,8,"41,51","9,72","8,85"
15 kg,Peru Finca La Despreciada natural modificado [20 kg box],natural,"87,5","grape, raspberry, passion fruit, chocolate",1,"54,31","12,72","11,58"
35 kg,Peru Finca San Antonio,honey,"86,5","pear, roasted almond, fudge",1,"43,94","10,29","9,37"
69 kg,Peru HB gr. 1 from Negrisa,washed,premium,"cranberry, dark chocolate, brazil nut",137,"27,39","6,42","5,84"
30 kg,Peru Organic Gr.1 Cemcavir Bourbon Rojo,washed,"85,5","cherry, almond, praline",1,"46,54","10,90","9,92"
69 kg,Peru Organic Gr.1 Cemcavir Finca La Requia,washed,"83,5","yellow plum, peach, chocolate",5,"36,38","8,52","7,76"
69 kg,Peru Organic Gr.1 Cemcavir Finca Mariposa,washed,84,"dates, fig, cocoa, macadamia nuts",12,"39,11","9,16","8,34"
30 kg,Peru Organic Gr.1 Cemcavir Finca Santa Sofia,natural,"85,5","mandarin, blueberry, biscuits",2,"44,06","10,32","9,40"
35 kg,Peru Villa Rica Finca El Manantial Scr.15up,honey,86,"grapes, sweet cherry, maple syrup",4,"44,92","10,52","9,58"
60 kg,PNG Organic Korofeigu Grade B,washed,"83,5","plum in chocolate, cocoa, caramel",6,"33,98","7,96","7,25"
20 kg,Rwanda fully washed 3 Farmes Nova LOT 15 [20kg box],washed,"87,5","black tea, raspberry, lemon, cloves",3,"55,25","12,94","11,78"
60 kg,Rwanda fully washed 3 Farmes Nova LOT 15,washed,"87,5","black tea, raspberry, lemon, cloves",8,"50,98","11,94","10,87"
60 kg,Rwanda fully washed AB plus Intore,washed,83,"plum, biscuits, almonds",12,"32,85","7,69","7,01"
60 kg,Rwanda fully washed CAFÉ DE MAMAS Womens Coffee Washing Station,washed,-,"yellow plum, tea, lemon, brown sugar",8,"37,75","8,84","8,05"
60 kg,Rwanda fully washed Nova Coffee Red Bourbon LOT 16,washed,87,"berries, bergamot, black tea, marzepan, juicy, lingering",7,"50,04","11,72","10,67"
60 kg,Rwanda fully washed SAKE Womens Coffee Washing Station,washed,-,"plum, pink, grapefruit, biscuits, chocolate",15,"35,87","8,40","7,65"
20 kg,Rwanda natural Munini Nova LOT 2 [20kg box],natural,"86,5","camomille, berries, apricot, milk chocolate",2,"64,64","15,14","13,78"
60 kg,Rwanda natural Munini Nova LOT 2,natural,"86,5","camomille, berries, apricot, milk chocolate",3,"60,37","14,14","12,87"
60 kg,Rwanda natural Nova Coffee Red Bourbon LOT 23,natural,"85,5","ripe cherries, berries, vanilla, creamy",10,"59,43","13,92","12,67"
60 kg,Tanzania AA Ngila Estate honey,honey,-,-,6,"47,31","11,08","10,09"
60 kg,Tanzania AA Ngila Estate Peak Season Kent,washed,"84,5","rhubarb, red current, black tea, brown sugar",3,"43,87","10,27","9,35"
60 kg,Uganda Wugar Kanyenze Cooperative,washed,83,"fig, walnut, cocoa",116,"26,45","6,19","5,64"
25 kg,Yemen Mocha Harazi Grade A,natural,85,"peach, strawberry, vanilla, milk chocolate",1,"95,16","22,28","20,29"
60 kg,Tanzania Organic Robusta Bukoba Superior Scr.16+,natural,fine,-,1,"19,34","4,58","4,17"
60 kg,Tanzania Robusta scr. 14,natural,basic,-,230,"14,59","3,48","3,17"
60 kg,Vietnam Robusta gr. 1 scr. 16 wet polished,wet polished,basic,-,140,"15,02","3,58","3,26"
60 kg,Vietnam Robusta gr. 1 scr. 18 wet polished,wet polished,basic,-,41,"15,11","3,60","3,28"
