Weight,Coffee,Process,Score,Profile,Bags,Price
60,Indonesia Toraja Kalossi Gr. 1,wet hulled,,"dried fig, roasted walnut, cocoa",17,39.54
60,Kenya AA Mount Kenya Selection,washed,84.5,"grapefruit, brown spices, caramel",17,45.98
60,Kenya AB THIRIRIKA GITHEMBE,washed,86.75,"black currant, gooseberry, black tea",3,53.51
60,Kenya PB BARAGWI,washed,87.0,"gooseberry, blackberry, caramel",1,53.81
60,Kenya TT washed,washed,83.0,"goosberry, red plum, tea, chocolate",2,36.21
60,Malawi AA Plus Pamwamba RFA,washed,,,15,36.15
69,Mexico SHG ep Finca Aurora in grainpro,washed,83.75,"apricot, peanutbutter, chocolate",2,33.51
30,Nicaragua El Limoncillo Java Caturra Fincas Mierisch Natural,natural,85.5,"grapes, plum, dark chocolate",9,44.92
30,Nicaragua La Huella H1 Fincas Mierisch,anaerobic,88.25,"apricot, mandarin, berries, rum",1,63.28
69,Nicaragua Los Placeres Pacas Fincas Mierisch,washed,84.0,"apple, pear, nutmeg, chocolate- juicy cup with chewy body",10,38.77
69,Nicaragua Organic SHG EP,washed,,,8,29.75
69,Nicaragua San Jose Javanica Fincas Mierisch  (crop 2021),anaerobic,87.0,"papaya, melon, mandarin, honey",3,43.87
30,Nicaragua San Jose Javanica Fincas Mierisch,anaerobic,87.5,"jasmine, guava, papaya, milk chocolate",23,63.75
69,Nicaragua SHB EP Colibrí Azul ecotac,washed,84.25,"hazelnut, grapefruit, black tea",115,28.81
69,Nicaragua SHG EP Olomega,washed,,"apple, hazelnut, chocolate",30,27.49
69,NicaraguaSHB EP Tierra Madre ecotac,washed,,"apple, tobacco, cocoa nibs",46,27.39
60,Panama SHB ANSELMITO Estate,washed,,,7,39.35
60,Panama SHB EL HORTIGAL Estate,washed,,,9,40.2
60,Panama SHB LA GLORIA Estate,washed,,,8,41.51
15,Peru Finca La Despreciada natural modificado [20 kg box],natural,87.5,"grape, raspberry, passion fruit, chocolate",1,54.31
35,Peru Finca San Antonio,honey,86.5,"pear, roasted almond, fudge",1,43.94
69,Peru HB gr. 1 from Negrisa,washed,,"cranberry, dark chocolate, brazil nut",137,27.39
30,Peru Organic Gr.1 Cemcavir Bourbon Rojo,washed,85.5,"cherry, almond, praline",1,46.54
69,Peru Organic Gr.1 Cemcavir Finca La Requia,washed,83.5,"yellow plum, peach, chocolate",5,36.38
69,Peru Organic Gr.1 Cemcavir Finca Mariposa,washed,84.0,"dates, fig, cocoa, macadamia nuts",12,39.11
30,Peru Organic Gr.1 Cemcavir Finca Santa Sofia,natural,85.5,"mandarin, blueberry, biscuits",2,44.06
35,Peru Villa Rica Finca El Manantial Scr.15up,honey,86.0,"grapes, sweet cherry, maple syrup",4,44.92
60,PNG Organic Korofeigu Grade B,washed,83.5,"plum in chocolate, cocoa, caramel",6,33.98
20,Rwanda fully washed 3 Farmes Nova LOT 15 [20kg box],washed,87.5,"black tea, raspberry, lemon, cloves",3,55.25
60,Rwanda fully washed 3 Farmes Nova LOT 15,washed,87.5,"black tea, raspberry, lemon, cloves",8,50.98
60,Rwanda fully washed AB plus Intore,washed,83.0,"plum, biscuits, almonds",12,32.85
60,Rwanda fully washed CAFÉ DE MAMAS Womens Coffee Washing Station,washed,,"yellow plum, tea, lemon, brown sugar",8,37.75
60,Rwanda fully washed Nova Coffee Red Bourbon LOT 16,washed,87.0,"berries, bergamot, black tea, marzepan, juicy, lingering",7,50.04
60,Rwanda fully washed SAKE Womens Coffee Washing Station,washed,,"plum, pink, grapefruit, biscuits, chocolate",15,35.87
20,Rwanda natural Munini Nova LOT 2 [20kg box],natural,86.5,"camomille, berries, apricot, milk chocolate",2,64.64
60,Rwanda natural Munini Nova LOT 2,natural,86.5,"camomille, berries, apricot, milk chocolate",3,60.37
60,Rwanda natural Nova Coffee Red Bourbon LOT 23,natural,85.5,"ripe cherries, berries, vanilla, creamy",10,59.43
60,Tanzania AA Ngila Estate honey,honey,,,6,47.31
60,Tanzania AA Ngila Estate Peak Season Kent,washed,84.5,"rhubarb, red current, black tea, brown sugar",3,43.87
60,Uganda Wugar Kanyenze Cooperative,washed,83.0,"fig, walnut, cocoa",116,26.45
25,Yemen Mocha Harazi Grade A,natural,85.0,"peach, strawberry, vanilla, milk chocolate",1,95.16
60,Tanzania Organic Robusta Bukoba Superior Scr.16+,natural,,,1,19.34
60,Tanzania Robusta scr. 14,natural,,,230,14.59
60,Vietnam Robusta gr. 1 scr. 16 wet polished,wet polished,,,140,15.02
60,Vietnam Robusta gr. 1 scr. 18 wet polished,wet polished,,,41,15.11
